Name,Location,Study Program,Sector,Rating,new_Rating,Cities
"Aleemiya Islamic Degree College, Karachi","Al-markaz Islami, Block B-, North Nazimabad, Karachi",FA Fsc General Science ICs Computer Science FSc Pre Engineering FSc Pre Medical,Private,0*,0*,Karachi
Mahmoodi Institute of Management Sciences (MIMS) Karachi,"Mariners Fairway 43 Timber Pound, Keameri, Karachi",ACCA,Public,0*,0*,Karachi
Govt Degree College For Women Naushera Khushab,Govt Degree College For Women Naushera Khushab,FA FSc Pre Engineering FSc Pre Medical FA General Science IComI CS Computer Science,Public,0*,0*,Khushab
Govt Degree College for Women Kot Khawaja Saeed Lahore,Kot Khawaja Saeed Lahore,FA FSc Pre Engineering FSc Pre Medical ICS General Science,Public,0*,0*,Lahore
Govt College For Women Nowshera Virkan Gujranwala,Govt College For Women Nowshera Virkan Gujranwala,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,0*,0*,Gujrawala
Leads Group of Colleges Mianwali,Leads Group of Colleges,ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA,Private,0*,0*,Mianwali
Govt College For Women Chak Jhumra Faisalabad,Govt College For Women Chak Jhumra Faisalabad,FA ICS FSc Pre-Medical FSc Pre-Engineering FA General Science ICom,Public,0*,0*,Faisalabad
Base College Of Science & Commerce Rawalpindi,"Near Barrier No.03, Wah Cantt, Rawalpindi",FSc Pre Engineering Fsc Pre Medical ICS ICom,Private,0*,0*,Rawalpindi
"Commecs School of Accountancy, Karachi","40-B, Block 6, P.E.C.H.S., Shahrah-e-Faisal, Behind KESC office, Karachi.",FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom,Private,0*,0*,Karachi
Govt College of Commerce Khanewal,Khanewal,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,0*,0*,Khanewal
"Govt. College of Commerce, Multan Cantt","Azmat Wasti Road, Multan Cantt",Icom Dcom,Public,0*,0*,Multan
Govt Degree College Chitral,Govt Degree College Chitral ,FA FSc Per Engineering FSc Per Medical ICS Icom,Public,0*,0*,Chitral
Govt Boys College Jahanian Khanewal,Govt Boys College Jahanian Khanewal,FA FSc Pre Engineering FSc Pre Medical FA General Science ICom ICS Computer Science,Public,0*,0*,Khanewal
Aim Higher Institute Rawalpindi,"KASB Bank Building, Chandni Chowk, Rawalpindi",Icom ICs Computer Science FA FSc Pre Medical FSc Pre Engineering,Private,0*,0*,Rawalpindi
F.G Girls Inter College Mardan,PRC Mardan Cantt,FA Icom FSc Pre Engineering FSc Pre Medical ICs Computer Science,Private,0*,0*,Mardan
Fazaia Inter College Paf Camp Badaber Karachi,PAF Camp Badaber Karachi,FSc pre Engineering Fsc pre Medical ICs Computer Science FA ICom,Private,0*,0*,Karachi
"Modern College of Commerce, Lahore","10-College Block, Allama Iqbal Town",FA ICS ICOM FSc FSc Pre Medical FSc Pre Engineering,Private,0*,0*,Lahore
Govt Degree College Sahiwal Sargodha,Govt Degree College Sahiwal Sargodha,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,0*,0*,Sargodha
Govt College Boys Choti Zareen Dera Ghazi Khan,Govt College Boys Choti Zareen Dera Ghazi Khan,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,1.25*,1*,Dera Ghazi Khan 
Al-Farabi Islamic School And College Islamabad,"Al-Farabi Islamic School & College, Near Tumair Stop, Lehtrar Road, Nilore (F.A), Islamabad",FA Fsc Pre Engineering ICs Computer Science FSc Pre Medical ICom,Private,5*,5*,Islamabad
Punjab College Abbottabad,"Punjab College CB-28, Gulistan Colony, College Road, Abbottabad",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom FA ,Private,0*,0*,Abbottabad
Govt Degree College For Women Abdul Hakim Kabirwala Khanewal,Govt Degree College For Women Abdul Hakim Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,0*,0*,Khanewal
